Phototoxic,Name,Smiles,Molecular Weight,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Exact Mass,Monoisotopic Mass,Topological Polar Surface Area,Heavy Atom Count,Formal Charge,Complexity,Isotope Atom Count,Defined Atom Stereocenter Count,Undefined Atom Stereocenter Count,Defined Bond Stereocenter Count,Undefined Bond Stereocenter Count,Covalently-Bonded Unit Count,Compound Is Canonicalized,XLogP3,XLogP3-AA,Name.1,Smiles.1,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,cycles,atom_valence,negative_gesteiger_sum,positive_gesteiger_sum,negative_gesteiger_mean,positive_gesteiger_mean,sum_gesteiger_fromsum,sum_gesteiger_frommean,sum_gesteiger_totalsum,sum_gesteiger_totalmean,hydrogen_count,csp3,aromatic_heavy_atoms,chi0n,hallkier,kappa_1,labute_asa,phi,h_donors,h_acceptors,carbon_count,tpsa,druglikeliness,vsa_logP_0,vsa_logP_1,vsa_logP_2,vsa_logP_3,vsa_logP_4,vsa_logP_5,vsa_logP_6,vsa_logP_7,vsa_logP_8,vsa_logP_9,vsa_logP_10,vsa_logP_11,cycle_type_counts
1,Acridine,C12=C(N=C3C(=C1)C=CC=C3)C=CC=C2,179.22,0,1,0,179.073499291,179.073499291,12.9,14,0,181.0,0,0,0,0,0,1,Yes,3.4,,Acridine,C12=C(N=C3C(=C1)C=CC=C3)C=CC=C2,C13H9N,179.22,14,14,0.0,0,1,0,59.25,12.89,2.24,3.4,3.39,3.06,3.54,3.13,-3.83,0.0263,0.000147,Soluble,-3.35,0.08,0.000447,Soluble,-5.37,0.000757,4.23e-06,Moderately soluble,High,Yes,Yes,Yes,No,No,No,No,-4.98,0,0,0,0,2,0.55,0,1,1,1.03,3,64,-0.7115206424057889,0.7115206424057889,-0.07115206424057889,0.05473235710813761,0.0,-0.01641970713244128,-0.6938893903907228,-0.030169103930031426,9,0.0,14,15.947213595499958,-1.8899999999999997,2.7988032533435088,94.65911466542417,0.5613536661353623,0,1,78,12.89,0,0.0,6.156676677016272,6.372924901329379,0.0,62.17167442824744,84.59386190728614,1.4118420783282006,10.969244356107037,0.0,0.0,6.010464839586836,35.68580567397504,3.3962406251802895
1,Acridine Hydrochloride,C12=C(N=C3C(=C1)C=CC=C3)C=CC=C2.Cl,215.68,1,1,0,215.050177,215.050177,12.9,15,0,181.0,0,0,0,0,0,2,Yes,,,Acridine Hydrochloride,C12=C(N=C3C(=C1)C=CC=C3)C=CC=C2.Cl,C13H10ClN,215.68,15,14,0.0,0,1,0,66.21,12.89,0.0,4.2,4.19,3.33,3.54,3.05,-4.51,0.00661,3.06e-05,Moderately soluble,-4.18,0.0142,6.6e-05,Moderately soluble,-5.37,0.000912,4.23e-06,Moderately soluble,High,Yes,Yes,Yes,No,No,No,No,-4.63,0,0,0,0,1,0.55,0,1,2,1.15,3,66,-0.8581097089203462,0.8581097089203462,-0.07800997353821329,0.061293550637167585,0.0,-0.016716422901045705,0.0,0.0,10,0.0,14,17.325178068509185,-1.5999999999999996,3.460736361193228,107.95901405201,0.8934048585493293,0,1,78,12.89,0,0.0,6.156676677016272,6.372924901329379,0.0,62.17167442824744,84.59386190728614,1.4118420783282006,10.969244356107037,0.0,0.0,6.010464839586836,35.68580567397504,3.3962406251802895
1,Amiodarone Hydrochloride,C(=O)(C=1C=2C(OC1CCCC)=CC=CC2)C3=CC(I)=C(OCCN(CC)CC)C(I)=C3.Cl,681.8,1,4,11,681.00037,681.00037,42.7,32,0,547.0,0,0,0,0,0,2,Yes,,,Amiodarone Hydrochloride,C(=O)(C=1C=2C(OC1CCCC)=CC=CC2)C3=CC(I)=C(OCCN(CC)CC)C(I)=C3.Cl,C25H30ClI2NO3,681.77,32,15,0.4,11,4,0,151.3,42.68,0.0,8.37,7.74,4.64,8.24,5.8,-8.96,7.46e-07,1.09e-09,Poorly soluble,-9.13,5.02e-07,7.36e-10,Poorly soluble,-10.36,2.98e-08,4.37e-11,Insoluble,Low,No,Yes,No,No,No,Yes,No,-4.52,2,3,1,1,2,0.17,0,1,3,4.08,3,142,-2.3043116427044676,2.3043116427044676,-0.11521558213522338,0.054864562921534944,0.0,-0.06035101921368844,-2.7755575615628914,-0.04476705744456276,30,0.4,15,45.305851885919225,-0.8399999999999994,7.335641720043263,265.5814755130295,3.0146464084729563,0,4,150,42.68,4,0.0,6.156676677016272,6.372924901329379,0.0,62.17167442824744,84.59386190728614,1.4118420783282006,10.969244356107037,0.0,0.0,6.010464839586836,35.68580567397504,3.2610985298396136
1,Amlodipine,C(OCC)(=O)C=1C(C(C(OC)=O)=C(C)NC1COCCN)C2=C(Cl)C=CC=C2,408.9,2,7,10,408.1451996,408.1451996,99.9,28,0,647.0,0,0,1,0,0,1,Yes,3.0,,Amlodipine,C(OCC)(=O)C=1C(C(C(OC)=O)=C(C)NC1COCCN)C2=C(Cl)C=CC=C2,C20H25ClN2O5,408.88,28,6,0.4,10,6,2,108.93,99.88,3.17,3.0,1.89,1.33,3.21,2.52,-3.76,0.0705,0.000172,Soluble,-4.76,0.00708,1.73e-05,Moderately soluble,-5.62,0.000985,2.41e-06,Moderately soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-6.66,0,0,0,0,0,0.55,0,1,2,4.39,2,122,-2.860458752417846,2.860458752417846,-0.19069725016118974,0.07527523032678543,0.0,-0.11542201983440431,-0.6938893903907228,-0.013092252648881563,25,0.4,6,38.31363311632846,-2.3499999999999996,5.842255753737503,204.3106869001726,2.1416760961754067,2,7,120,99.88,1,0.0,6.156676677016272,6.372924901329379,0.0,62.17167442824744,84.59386190728614,1.4118420783282006,10.969244356107037,0.0,0.0,6.010464839586836,35.68580567397504,3.25
1,Amlodipine besylate,S(=O)(=O)(O)C1=CC=CC=C1.C(OCC)(=O)C=1C(C(C(OC)=O)=C(C)NC1COCCN)C2=C(Cl)C=CC=C2,567.1,3,10,11,566.1489648,566.1489648,163.0,38,0,830.0,0,0,1,0,0,2,Yes,,,Amlodipine besylate,S(=O)(=O)(O)C1=CC=CC=C1.C(OCC)(=O)C=1C(C(C(OC)=O)=C(C)NC1COCCN)C2=C(Cl)C=CC=C2,C26H31ClN2O8S,567.05,38,12,0.31,11,9,3,145.23,162.63,3.67,1.39,3.9,1.77,3.21,2.79,-3.74,0.103,0.000182,Soluble,-4.41,0.0221,3.9e-05,Moderately soluble,-5.62,0.00137,2.41e-06,Moderately soluble,Low,No,Yes,No,No,No,No,No,-8.77,1,2,2,1,1,0.55,0,2,2,5.02,3,164,-3.7966712940203116,3.7966712940203116,-0.16507266495740486,0.08253633247870243,0.0,-0.08253633247870243,2.636779683484747,0.03821419831137314,31,0.3076923076923077,12,48.94662627818391,-3.219999999999999,8.899303921877284,270.5187415289409,3.4303639624853077,3,10,156,154.25000000000003,3,0.0,6.156676677016272,6.372924901329379,0.0,62.17167442824744,84.59386190728614,1.4118420783282006,10.969244356107037,0.0,0.0,6.010464839586836,35.68580567397504,3.3962406251802895
1,Atorvastatin,C(NC1=CC=CC=C1)(=O)C=2C(=C(N(CC[C@H](C[C@H](CC(O)=O)O)O)C2C(C)C)C3=CC=C(F)C=C3)C4=CC=CC=C4,558.6,4,6,12,558.25300038,558.25300038,112.0,41,0,822.0,0,2,0,0,0,1,Yes,,5.0,Atorvastatin,C(NC1=CC=CC=C1)(=O)C=2C(=C(N(CC[C@H](C[C@H](CC(O)=O)O)O)C2C(C)C)C3=CC=C(F)C=C3)C4=CC=CC=C4,C33H35FN2O5,558.64,41,23,0.27,13,6,4,158.26,111.79,3.58,4.96,6.54,3.48,6.15,4.94,-5.99,0.000578,1.03e-06,Moderately soluble,-7.05,5.03e-05,9e-08,Poorly soluble,-9.13,4.17e-07,7.46e-10,Poorly soluble,Low,No,Yes,No,Yes,No,Yes,Yes,-6.19,1,4,1,1,0,0.56,0,0,3,4.95,4,184,-3.5098852360544157,3.5098852360544153,-0.12103052538118675,0.07467840927775352,-4.440892098500626,-0.04635211610343323,3.3306690738754696,0.04382459307730881,35,0.2727272727272727,23,54.81363311632846,-4.269999999999999,8.39647494206764,287.94935885936525,2.7423959268877502,4,6,198,111.79000000000002,5,0.0,6.156676677016272,6.372924901329379,0.0,62.17167442824744,84.59386190728614,1.4118420783282006,10.969244356107037,0.0,0.0,6.010464839586836,35.68580567397504,3.403677461028802
1,Benidipine Hydrochloride,C(O[C@H]1CN(CC2=CC=CC=C2)CCC1)(=O)C=3[C@@H](C(C(OC)=O)=C(C)NC3C)C4=CC(N(=O)=O)=CC=C4.Cl,542.0,2,8,8,541.1979634,541.1979634,114.0,38,0,933.0,0,2,0,0,0,2,Yes,,,Benidipine Hydrochloride,C(O[C@H]1CN(CC2=CC=CC=C2)CCC1)(=O)C=3[C@@H](C(C(OC)=O)=C(C)NC3C)C4=CC(N(=O)=O)=CC=C4.Cl,C28H32ClN3O6,542.02,38,12,0.36,9,7,1,154.71,113.69,0.0,5.41,4.62,2.33,2.58,2.99,-6.25,0.000306,5.64e-07,Poorly soluble,-7.55,1.52e-05,2.8e-08,Poorly soluble,-7.18,3.61e-05,6.65e-08,Poorly soluble,High,No,Yes,No,No,Yes,No,Yes,-5.77,1,2,0,0,1,0.55,0,2,3,5.04,4,166,-3.312375324496851,3.312375324496852,-0.14401631845638482,0.07047607073397558,8.881784197001252,-0.07354024772240925,5.273559366969494,0.07533656238527847,32,0.35714285714285715,12,50.16909500229228,-3.6899999999999995,8.158332713671674,272.3615505439189,2.728330165811129,1,8,168,111.00999999999999,2,0.0,6.156676677016272,6.372924901329379,0.0,62.17167442824744,84.59386190728614,1.4118420783282006,10.969244356107037,0.0,0.0,6.010464839586836,35.68580567397504,3.5
1,Benzbromarone,C(=O)(C=1C=2C(OC1CC)=CC=CC2)C3=CC(Br)=C(O)C(Br)=C3,424.1,1,3,3,423.91327,421.91532,50.4,22,0,405.0,0,0,0,0,0,1,Yes,5.7,,Benzbromarone,C(=O)(C=1C=2C(OC1CC)=CC=CC2)C3=CC(Br)=C(O)C(Br)=C3,C17H12Br2O3,424.08,22,15,0.12,3,3,1,93.28,50.44,3.31,5.66,5.46,3.43,5.55,4.68,-6.34,0.000193,4.55e-07,Poorly soluble,-6.48,0.000139,3.28e-07,Poorly soluble,-7.57,1.13e-05,2.67e-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,No,-4.87,0,0,0,0,1,0.55,0,0,2,3.14,3,88,-1.6607627129915727,1.6607627129915725,-0.13839689274929773,0.07548921422688966,-2.220446049250313,-0.06290767852240807,-1.3877787807814457,-0.04081702296416017,12,0.11764705882352941,15,22.480673817410043,-1.5899999999999994,6.49418610696643,160.6964847882263,1.7397314341781551,1,3,102,50.44,0,0.0,6.156676677016272,6.372924901329379,0.0,62.17167442824744,84.59386190728614,1.4118420783282006,10.969244356107037,0.0,0.0,6.010464839586836,35.68580567397504,3.2610985298396136
1,Bezafibrate,C(NCCC1=CC=C(OC(C(O)=O)(C)C)C=C1)(=O)C2=CC=C(Cl)C=C2,361.8,2,4,7,361.1080858,361.1080858,75.6,25,0,452.0,0,0,0,0,0,1,Yes,3.8,,Bezafibrate,C(NCCC1=CC=C(OC(C(O)=O)(C)C)C=C1)(=O)C2=CC=C(Cl)C=C2,C19H20ClNO4,361.82,25,12,0.26,8,4,2,96.46,75.63,2.74,3.8,3.55,3.16,3.8,3.41,-4.3,0.0179,4.96e-05,Moderately soluble,-5.08,0.00299,8.27e-06,Moderately soluble,-6.23,0.000213,5.89e-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.81,0,0,0,0,0,0.56,0,0,3,2.18,2,108,-2.3232403818319898,2.3232403818319898,-0.1290689101017772,0.08604594006785148,0.0,-0.04302297003392573,-1.6653345369377348,-0.03700743415417188,20,0.2631578947368421,12,31.958171230364634,-2.5299999999999994,5.481354379554337,179.37118061233915,1.7607762727979486,2,4,114,75.63,0,0.0,6.156676677016272,6.372924901329379,0.0,62.17167442824744,84.59386190728614,1.4118420783282006,10.969244356107037,0.0,0.0,6.010464839586836,35.68580567397504,3.25
1,Bufexamac,C(C(NO)=O)C1=CC=C(OCCCC)C=C1,223.27,2,3,6,223.1208434,223.1208434,58.6,16,0,200.0,0,0,0,0,0,1,Yes,,1.9,Bufexamac,C(C(NO)=O)C1=CC=C(OCCCC)C=C1,C12H17NO3,223.27,16,6,0.42,7,3,2,60.86,58.56,1.79,2.08,1.91,1.8,1.9,1.9,-2.35,0.997,0.00447,Soluble,-2.94,0.257,0.00115,Soluble,-3.58,0.0591,0.000265,Soluble,High,Yes,No,No,No,No,No,No,-6.19,0,0,0,0,0,0.55,0,2,1,1.86,1,74,-1.6168440746534731,1.616844074653473,-0.13473700622112275,0.07699257498349871,-2.220446049250313,-0.057744431237624044,-1.6653345369377348,-0.05046468293750712,17,0.4166666666666667,6,24.671958466891546,-1.5499999999999998,2.642841490138787,119.22348296392765,1.1308923289036914,2,3,72,58.56,0,0.0,6.156676677016272,6.372924901329379,0.0,62.17167442824744,84.59386190728614,1.4118420783282006,10.969244356107037,0.0,0.0,6.010464839586836,35.68580567397504,3.0
